,model,variables,layer,accuracy
0,0,"[0, 1, 2]",conv1,0.9490000009536743
1,0,"[0, 1, 2]",conv2,0.9559999704360962
2,0,"[0, 1, 2]",conv3,0.9599999785423279
3,0,"[0, 1]",conv1,0.9340000152587891
4,0,"[0, 1]",conv2,0.9359999895095825
5,0,"[0, 1]",conv3,0.9210000038146973
6,0,"[0, 2]",conv1,0.949999988079071
7,0,"[0, 2]",conv2,0.9539999961853027
8,0,"[0, 2]",conv3,0.9330000281333923
9,0,"[1, 2]",conv1,0.925000011920929
10,0,"[1, 2]",conv2,0.9369999766349792
11,0,"[1, 2]",conv3,0.9049999713897705
12,0,[0],conv1,0.9309999942779541
13,0,[0],conv2,0.9359999895095825
14,0,[0],conv3,0.8980000019073486
15,0,[1],conv1,0.9629999995231628
16,0,[1],conv2,0.9610000252723694
17,0,[1],conv3,0.9440000057220459
18,0,[2],conv1,0.9409999847412109
19,0,[2],conv2,0.9359999895095825
20,0,[2],conv3,0.9240000247955322
21,1,"[0, 1, 2]",conv1,0.9520000219345093
22,1,"[0, 1, 2]",conv2,0.9470000267028809
23,1,"[0, 1, 2]",conv3,0.968999981880188
24,1,"[0, 1]",conv1,0.9399999976158142
25,1,"[0, 1]",conv2,0.9490000009536743
26,1,"[0, 1]",conv3,0.9380000233650208
27,1,"[0, 2]",conv1,0.9369999766349792
28,1,"[0, 2]",conv2,0.9449999928474426
29,1,"[0, 2]",conv3,0.9599999785423279
30,1,"[1, 2]",conv1,0.9240000247955322
31,1,"[1, 2]",conv2,0.9490000009536743
32,1,"[1, 2]",conv3,0.9129999876022339
33,1,[0],conv1,0.9210000038146973
34,1,[0],conv2,0.9319999814033508
35,1,[0],conv3,0.9399999976158142
36,1,[1],conv1,0.9490000009536743
37,1,[1],conv2,0.9649999737739563
38,1,[1],conv3,0.9459999799728394
39,1,[2],conv1,0.949999988079071
40,1,[2],conv2,0.9359999895095825
41,1,[2],conv3,0.9350000023841858
42,2,"[0, 1, 2]",conv1,0.9430000185966492
43,2,"[0, 1, 2]",conv2,0.9539999961853027
44,2,"[0, 1, 2]",conv3,0.9580000042915344
45,2,"[0, 1]",conv1,0.9300000071525574
46,2,"[0, 1]",conv2,0.9419999718666077
47,2,"[0, 1]",conv3,0.9340000152587891
48,2,"[0, 2]",conv1,0.949999988079071
49,2,"[0, 2]",conv2,0.9449999928474426
50,2,"[0, 2]",conv3,0.9470000267028809
51,2,"[1, 2]",conv1,0.9409999847412109
52,2,"[1, 2]",conv2,0.9490000009536743
53,2,"[1, 2]",conv3,0.921999990940094
54,2,[0],conv1,0.9169999957084656
55,2,[0],conv2,0.9190000295639038
56,2,[0],conv3,0.9079999923706055
57,2,[1],conv1,0.968999981880188
58,2,[1],conv2,0.9620000123977661
59,2,[1],conv3,0.9539999961853027
60,2,[2],conv1,0.9470000267028809
61,2,[2],conv2,0.9459999799728394
62,2,[2],conv3,0.9340000152587891
63,3,"[0, 1, 2]",conv1,0.9440000057220459
64,3,"[0, 1, 2]",conv2,0.9729999899864197
65,3,"[0, 1, 2]",conv3,0.9679999947547913
66,3,"[0, 1]",conv1,0.9190000295639038
67,3,"[0, 1]",conv2,0.9409999847412109
68,3,"[0, 1]",conv3,0.9070000052452087
69,3,"[0, 2]",conv1,0.9359999895095825
70,3,"[0, 2]",conv2,0.9470000267028809
71,3,"[0, 2]",conv3,0.9079999923706055
72,3,"[1, 2]",conv1,0.9350000023841858
73,3,"[1, 2]",conv2,0.9300000071525574
74,3,"[1, 2]",conv3,0.8999999761581421
75,3,[0],conv1,0.925000011920929
76,3,[0],conv2,0.9319999814033508
77,3,[0],conv3,0.9330000281333923
78,3,[1],conv1,0.9570000171661377
79,3,[1],conv2,0.9440000057220459
80,3,[1],conv3,0.9390000104904175
81,3,[2],conv1,0.9369999766349792
82,3,[2],conv2,0.949999988079071
83,3,[2],conv3,0.9160000085830688
84,4,"[0, 1, 2]",conv1,0.953000009059906
85,4,"[0, 1, 2]",conv2,0.9559999704360962
86,4,"[0, 1, 2]",conv3,0.9670000076293945
87,4,"[0, 1]",conv1,0.9300000071525574
88,4,"[0, 1]",conv2,0.9589999914169312
89,4,"[0, 1]",conv3,0.9179999828338623
90,4,"[0, 2]",conv1,0.9470000267028809
91,4,"[0, 2]",conv2,0.9419999718666077
92,4,"[0, 2]",conv3,0.9470000267028809
93,4,"[1, 2]",conv1,0.9279999732971191
94,4,"[1, 2]",conv2,0.9470000267028809
95,4,"[1, 2]",conv3,0.925000011920929
96,4,[0],conv1,0.9470000267028809
97,4,[0],conv2,0.9419999718666077
98,4,[0],conv3,0.9269999861717224
99,4,[1],conv1,0.9700000286102295
100,4,[1],conv2,0.9649999737739563
101,4,[1],conv3,0.9480000138282776
102,4,[2],conv1,0.9340000152587891
103,4,[2],conv2,0.9449999928474426
104,4,[2],conv3,0.9190000295639038
105,5,"[0, 1, 2]",conv1,0.9369999766349792
106,5,"[0, 1, 2]",conv2,0.9539999961853027
107,5,"[0, 1, 2]",conv3,0.9620000123977661
108,5,"[0, 1]",conv1,0.9449999928474426
109,5,"[0, 1]",conv2,0.9549999833106995
110,5,"[0, 1]",conv3,0.9409999847412109
111,5,"[0, 2]",conv1,0.9350000023841858
112,5,"[0, 2]",conv2,0.9309999942779541
113,5,"[0, 2]",conv3,0.9300000071525574
114,5,"[1, 2]",conv1,0.9399999976158142
115,5,"[1, 2]",conv2,0.9480000138282776
116,5,"[1, 2]",conv3,0.8949999809265137
117,5,[0],conv1,0.9169999957084656
118,5,[0],conv2,0.925000011920929
119,5,[0],conv3,0.902999997138977
120,5,[1],conv1,0.9559999704360962
121,5,[1],conv2,0.9509999752044678
122,5,[1],conv3,0.9459999799728394
123,5,[2],conv1,0.9480000138282776
124,5,[2],conv2,0.9440000057220459
125,5,[2],conv3,0.9319999814033508
126,6,"[0, 1, 2]",conv1,0.9380000233650208
127,6,"[0, 1, 2]",conv2,0.9520000219345093
128,6,"[0, 1, 2]",conv3,0.9629999995231628
129,6,"[0, 1]",conv1,0.9419999718666077
130,6,"[0, 1]",conv2,0.9480000138282776
131,6,"[0, 1]",conv3,0.9139999747276306
132,6,"[0, 2]",conv1,0.9290000200271606
133,6,"[0, 2]",conv2,0.9449999928474426
134,6,"[0, 2]",conv3,0.9309999942779541
135,6,"[1, 2]",conv1,0.9369999766349792
136,6,"[1, 2]",conv2,0.9459999799728394
137,6,"[1, 2]",conv3,0.9120000004768372
138,6,[0],conv1,0.9359999895095825
139,6,[0],conv2,0.9330000281333923
140,6,[0],conv3,0.9150000214576721
141,6,[1],conv1,0.9670000076293945
142,6,[1],conv2,0.9440000057220459
143,6,[1],conv3,0.9559999704360962
144,6,[2],conv1,0.9359999895095825
145,6,[2],conv2,0.9369999766349792
146,6,[2],conv3,0.9160000085830688
147,7,"[0, 1, 2]",conv1,0.949999988079071
148,7,"[0, 1, 2]",conv2,0.9679999947547913
149,7,"[0, 1, 2]",conv3,0.9649999737739563
150,7,"[0, 1]",conv1,0.9359999895095825
151,7,"[0, 1]",conv2,0.9330000281333923
152,7,"[0, 1]",conv3,0.9240000247955322
153,7,"[0, 2]",conv1,0.9509999752044678
154,7,"[0, 2]",conv2,0.9570000171661377
155,7,"[0, 2]",conv3,0.9430000185966492
156,7,"[1, 2]",conv1,0.9300000071525574
157,7,"[1, 2]",conv2,0.9409999847412109
158,7,"[1, 2]",conv3,0.9139999747276306
159,7,[0],conv1,0.9190000295639038
160,7,[0],conv2,0.9449999928474426
161,7,[0],conv3,0.9279999732971191
162,7,[1],conv1,0.9589999914169312
163,7,[1],conv2,0.9610000252723694
164,7,[1],conv3,0.949999988079071
165,7,[2],conv1,0.9279999732971191
166,7,[2],conv2,0.9399999976158142
167,7,[2],conv3,0.9330000281333923
168,8,"[0, 1, 2]",conv1,0.9409999847412109
169,8,"[0, 1, 2]",conv2,0.9449999928474426
170,8,"[0, 1, 2]",conv3,0.9639999866485596
171,8,"[0, 1]",conv1,0.9319999814033508
172,8,"[0, 1]",conv2,0.9409999847412109
173,8,"[0, 1]",conv3,0.925000011920929
174,8,"[0, 2]",conv1,0.9300000071525574
175,8,"[0, 2]",conv2,0.9430000185966492
176,8,"[0, 2]",conv3,0.925000011920929
177,8,"[1, 2]",conv1,0.9399999976158142
178,8,"[1, 2]",conv2,0.9440000057220459
179,8,"[1, 2]",conv3,0.9070000052452087
180,8,[0],conv1,0.925000011920929
181,8,[0],conv2,0.925000011920929
182,8,[0],conv3,0.9049999713897705
183,8,[1],conv1,0.9549999833106995
184,8,[1],conv2,0.9490000009536743
185,8,[1],conv3,0.9419999718666077
186,8,[2],conv1,0.9470000267028809
187,8,[2],conv2,0.9580000042915344
188,8,[2],conv3,0.9309999942779541
189,9,"[0, 1, 2]",conv1,0.9369999766349792
190,9,"[0, 1, 2]",conv2,0.949999988079071
191,9,"[0, 1, 2]",conv3,0.9570000171661377
