,model,variables,layer,accuracy
0,30,"[0, 1, 2]",conv1,0.9490000009536743
1,30,"[0, 1, 2]",conv2,0.9559999704360962
2,30,"[0, 1, 2]",conv3,0.9599999785423279
3,30,"[0, 1]",conv1,0.9440000057220459
4,30,"[0, 1]",conv2,0.9359999895095825
5,30,"[0, 1]",conv3,0.9039999842643738
6,30,"[0, 2]",conv1,0.9399999976158142
7,30,"[0, 2]",conv2,0.949999988079071
8,30,"[0, 2]",conv3,0.9380000233650208
9,30,"[1, 2]",conv1,0.9210000038146973
10,30,"[1, 2]",conv2,0.9330000281333923
11,30,"[1, 2]",conv3,0.8989999890327454
12,30,[0],conv1,0.9169999957084656
13,30,[0],conv2,0.9259999990463257
14,30,[0],conv3,0.8930000066757202
15,30,[1],conv1,0.9539999961853027
16,30,[1],conv2,0.9639999866485596
17,30,[1],conv3,0.9409999847412109
18,30,[2],conv1,0.9340000152587891
19,30,[2],conv2,0.9279999732971191
20,30,[2],conv3,0.9190000295639038
21,31,"[0, 1, 2]",conv1,0.9409999847412109
22,31,"[0, 1, 2]",conv2,0.949999988079071
23,31,"[0, 1, 2]",conv3,0.9729999899864197
24,31,"[0, 1]",conv1,0.9290000200271606
25,31,"[0, 1]",conv2,0.9430000185966492
26,31,"[0, 1]",conv3,0.9330000281333923
27,31,"[0, 2]",conv1,0.9330000281333923
28,31,"[0, 2]",conv2,0.9430000185966492
29,31,"[0, 2]",conv3,0.9449999928474426
30,31,"[1, 2]",conv1,0.9089999794960022
31,31,"[1, 2]",conv2,0.9449999928474426
32,31,"[1, 2]",conv3,0.9279999732971191
33,31,[0],conv1,0.9210000038146973
34,31,[0],conv2,0.9330000281333923
35,31,[0],conv3,0.9229999780654907
36,31,[1],conv1,0.9449999928474426
37,31,[1],conv2,0.9580000042915344
38,31,[1],conv3,0.949999988079071
39,31,[2],conv1,0.9240000247955322
40,31,[2],conv2,0.9319999814033508
41,31,[2],conv3,0.9160000085830688
42,32,"[0, 1, 2]",conv1,0.9480000138282776
43,32,"[0, 1, 2]",conv2,0.9610000252723694
44,32,"[0, 1, 2]",conv3,0.9639999866485596
45,32,"[0, 1]",conv1,0.9279999732971191
46,32,"[0, 1]",conv2,0.9449999928474426
47,32,"[0, 1]",conv3,0.9240000247955322
48,32,"[0, 2]",conv1,0.9470000267028809
49,32,"[0, 2]",conv2,0.9589999914169312
50,32,"[0, 2]",conv3,0.9359999895095825
51,32,"[1, 2]",conv1,0.9399999976158142
52,32,"[1, 2]",conv2,0.9470000267028809
53,32,"[1, 2]",conv3,0.902999997138977
54,32,[0],conv1,0.9150000214576721
55,32,[0],conv2,0.9200000166893005
56,32,[0],conv3,0.9020000100135803
57,32,[1],conv1,0.9599999785423279
58,32,[1],conv2,0.9580000042915344
59,32,[1],conv3,0.9440000057220459
60,32,[2],conv1,0.9409999847412109
61,32,[2],conv2,0.9449999928474426
62,32,[2],conv3,0.9279999732971191
63,33,"[0, 1, 2]",conv1,0.9520000219345093
64,33,"[0, 1, 2]",conv2,0.9660000205039978
65,33,"[0, 1, 2]",conv3,0.9599999785423279
66,33,"[0, 1]",conv1,0.9300000071525574
67,33,"[0, 1]",conv2,0.9419999718666077
