,model,variables,layer,accuracy
0,240,"[0, 1, 2]",conv1,0.9290000200271606
1,240,"[0, 1, 2]",conv2,0.9449999928474426
2,240,"[0, 1, 2]",conv3,0.9520000219345093
3,240,"[0, 1, 2]",fc1,0.7279999852180481
4,240,"[0, 1]",conv1,0.9010000228881836
5,240,"[0, 1]",conv2,0.8899999856948853
6,240,"[0, 1]",conv3,0.8619999885559082
7,240,"[0, 1]",fc1,0.7229999899864197
8,240,"[0, 2]",conv1,0.9279999732971191
9,240,"[0, 2]",conv2,0.9129999876022339
10,240,"[0, 2]",conv3,0.9070000052452087
11,240,"[0, 2]",fc1,0.6919999718666077
12,240,"[1, 2]",conv1,0.9160000085830688
13,240,"[1, 2]",conv2,0.8939999938011169
14,240,"[1, 2]",conv3,0.8740000128746033
15,240,"[1, 2]",fc1,0.6919999718666077
16,240,[0],conv1,0.9210000038146973
17,240,[0],conv2,0.8989999890327454
18,240,[0],conv3,0.8809999823570251
19,240,[0],fc1,0.6769999861717224
20,240,[1],conv1,0.9549999833106995
21,240,[1],conv2,0.9639999866485596
22,240,[1],conv3,0.9399999976158142
23,240,[1],fc1,0.7369999885559082
24,240,[2],conv1,0.9160000085830688
25,240,[2],conv2,0.9279999732971191
26,240,[2],conv3,0.871999979019165
27,240,[2],fc1,0.722000002861023
28,241,"[0, 1, 2]",conv1,0.9399999976158142
29,241,"[0, 1, 2]",conv2,0.953000009059906
30,241,"[0, 1, 2]",conv3,0.9459999799728394
31,241,"[0, 1, 2]",fc1,0.7089999914169312
32,241,"[0, 1]",conv1,0.8920000195503235
33,241,"[0, 1]",conv2,0.9300000071525574
34,241,"[0, 1]",conv3,0.8999999761581421
35,241,"[0, 1]",fc1,0.6880000233650208
36,241,"[0, 2]",conv1,0.9290000200271606
37,241,"[0, 2]",conv2,0.9309999942779541
38,241,"[0, 2]",conv3,0.925000011920929
39,241,"[0, 2]",fc1,0.6499999761581421
40,241,"[1, 2]",conv1,0.8980000019073486
41,241,"[1, 2]",conv2,0.8989999890327454
42,241,"[1, 2]",conv3,0.9020000100135803
43,241,"[1, 2]",fc1,0.5950000286102295
44,241,[0],conv1,0.9200000166893005
45,241,[0],conv2,0.921999990940094
46,241,[0],conv3,0.9200000166893005
47,241,[0],fc1,0.6840000152587891
48,241,[1],conv1,0.9620000123977661
49,241,[1],conv2,0.9700000286102295
50,241,[1],conv3,0.949999988079071
51,241,[1],fc1,0.7239999771118164
52,241,[2],conv1,0.9259999990463257
53,241,[2],conv2,0.9259999990463257
54,241,[2],conv3,0.890999972820282
55,241,[2],fc1,0.7319999933242798
56,242,"[0, 1, 2]",conv1,0.9290000200271606
57,242,"[0, 1, 2]",conv2,0.9309999942779541
58,242,"[0, 1, 2]",conv3,0.9350000023841858
59,242,"[0, 1, 2]",fc1,0.6779999732971191
60,242,"[0, 1]",conv1,0.9110000133514404
61,242,"[0, 1]",conv2,0.902999997138977
62,242,"[0, 1]",conv3,0.8899999856948853
63,242,"[0, 1]",fc1,0.6759999990463257
64,242,"[0, 2]",conv1,0.9340000152587891
65,242,"[0, 2]",conv2,0.8679999709129333
66,242,"[0, 2]",conv3,0.9229999780654907
67,242,"[0, 2]",fc1,0.7039999961853027
68,242,"[1, 2]",conv1,0.9259999990463257
69,242,"[1, 2]",conv2,0.9100000262260437
70,242,"[1, 2]",conv3,0.8859999775886536
71,242,"[1, 2]",fc1,0.7210000157356262
72,242,[0],conv1,0.9049999713897705
73,242,[0],conv2,0.8709999918937683
74,242,[0],conv3,0.8600000143051147
75,242,[0],fc1,0.6650000214576721
76,242,[1],conv1,0.9620000123977661
77,242,[1],conv2,0.9390000104904175
78,242,[1],conv3,0.9039999842643738
79,242,[1],fc1,0.7250000238418579
80,242,[2],conv1,0.953000009059906
81,242,[2],conv2,0.9359999895095825
82,242,[2],conv3,0.921999990940094
83,242,[2],fc1,0.7730000019073486
84,243,"[0, 1, 2]",conv1,0.9359999895095825
85,243,"[0, 1, 2]",conv2,0.9269999861717224
86,243,"[0, 1, 2]",conv3,0.9369999766349792
87,243,"[0, 1, 2]",fc1,0.6909999847412109
88,243,"[0, 1]",conv1,0.8999999761581421
89,243,"[0, 1]",conv2,0.9020000100135803
