training objective,layer,variables localized,interchange intervention accuracy
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Area,0.9319999814033508
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Area,0.9039999842643738
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Area,0.6710000038146973
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9430000185966492
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9300000071525574
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9210000038146972
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Color, Area",0.5839999914169312
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.915000021457672
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.9079999923706056
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.9049999713897704
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Color",0.8059999942779541
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9430000185966492
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.8920000195503235
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.9279999732971193
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Area",0.6119999885559082
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Color, Area",0.9210000038146972
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Color, Area",0.9070000052452089
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Color, Area",0.8870000243186951
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Color, Area",0.6899999976158142
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Circularity,0.9049999713897704
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Circularity,0.878000020980835
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Circularity,0.8769999742507935
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Circularity,0.7350000143051147
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Color,0.968999981880188
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Color,0.949999988079071
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Color,0.9269999861717224
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Color,0.753000020980835
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Area,0.9419999718666076
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Area,0.9409999847412108
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Area,0.9380000233650208
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Area,0.8040000200271606
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9369999766349792
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9399999976158142
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9520000219345092
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Color, Area",0.8769999742507935
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.9169999957084656
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.8970000147819519
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.878000020980835
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Color",0.6899999976158142
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9340000152587892
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9229999780654908
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.8930000066757202
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Area",0.7009999752044678
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Color, Area",0.9259999990463256
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Color, Area",0.915000021457672
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Color, Area",0.8539999723434448
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Color, Area",0.6899999976158142
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Circularity,0.8939999938011169
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Circularity,0.915000021457672
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Circularity,0.8859999775886536
"Equal (0.4, 0.4, 0.4)",fc1 (3),Circularity,0.7400000095367432
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Color,0.9649999737739564
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Color,0.9520000219345092
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Color,0.9419999718666076
"Equal (0.4, 0.4, 0.4)",fc1 (3),Color,0.7229999899864197
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Area,0.9359999895095824
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Area,0.9229999780654908
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Area,0.8939999938011169
"Equal (0.4, 0.4, 0.4)",fc1 (3),Area,0.7200000286102295
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9350000023841858
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9509999752044678
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9559999704360962
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Color, Area",0.8130000233650208
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.9259999990463256
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.9070000052452089
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.8859999775886536
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Color",0.7770000100135803
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9430000185966492
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9459999799728394
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.9079999923706056
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Area",0.574999988079071
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Color, Area",0.9200000166893004
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Color, Area",0.8980000019073486
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Color, Area",0.9049999713897704
