training objective,layer,variables localized,interchange intervention accuracy
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.9369999766349792
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.906000018119812
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Color",0.7379999756813049
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.930999994277954
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9470000267028807
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.9139999747276306
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Area",0.6079999804496765
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Color, Area",0.9240000247955322
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Color, Area",0.9169999957084656
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Color, Area",0.9089999794960022
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Color, Area",0.7099999785423279
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Circularity,0.9190000295639038
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Circularity,0.9229999780654908
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Circularity,0.9200000166893004
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Circularity,0.824999988079071
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Color,0.9610000252723694
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Color,0.975000023841858
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Color,0.949999988079071
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Color,0.7429999709129333
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Area,0.9229999780654908
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Area,0.930999994277954
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Area,0.8970000147819519
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Area,0.7099999785423279
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9449999928474426
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9509999752044678
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9319999814033508
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Color, Area",0.8050000071525574
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.9160000085830688
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.9229999780654908
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.9010000228881836
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Color",0.8149999976158142
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9419999718666076
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9110000133514404
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.8970000147819519
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Area",0.6919999718666077
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Color, Area",0.9259999990463256
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Color, Area",0.9210000038146972
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Color, Area",0.8679999709129333
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Color, Area",0.7179999947547913
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Circularity,0.912999987602234
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Circularity,0.8939999938011169
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Circularity,0.875
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Circularity,0.718999981880188
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Color,0.9629999995231628
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Color,0.9539999961853028
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Color,0.9259999990463256
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Color,0.7559999823570251
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Area,0.9520000219345092
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Area,0.9570000171661376
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Area,0.9319999814033508
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Area,0.8109999895095825
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9520000219345092
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9359999895095824
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9229999780654908
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Color, Area",0.5239999890327454
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.9160000085830688
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.9120000004768372
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.8820000290870667
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Color",0.6159999966621399
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9279999732971193
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9340000152587892
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.9049999713897704
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Area",0.6610000133514404
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Color, Area",0.9139999747276306
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Color, Area",0.9269999861717224
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Color, Area",0.847000002861023
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Color, Area",0.7360000014305115
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Circularity,0.912999987602234
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Circularity,0.930999994277954
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Circularity,0.8920000195503235
"Equal (0.4, 0.4, 0.4)",fc1 (3),Circularity,0.7360000014305115
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Color,0.9700000286102296
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Color,0.9570000171661376
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Color,0.9369999766349792
"Equal (0.4, 0.4, 0.4)",fc1 (3),Color,0.718999981880188
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Area,0.930999994277954
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Area,0.9350000023841858
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Area,0.8970000147819519
"Equal (0.4, 0.4, 0.4)",fc1 (3),Area,0.7319999933242798
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9390000104904176
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9549999833106996
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9559999704360962
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Color, Area",0.5019999742507935
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.9350000023841858
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.9010000228881836
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.8870000243186951
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Color",0.7829999923706055
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.949999988079071
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9459999799728394
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.9240000247955322
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Area",0.7749999761581421
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Color, Area",0.930999994277954
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Color, Area",0.8989999890327454
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Color, Area",0.9190000295639038
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Color, Area",0.7200000286102295
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Circularity,0.9390000104904176
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Circularity,0.9369999766349792
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Circularity,0.9259999990463256
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Circularity,0.8059999942779541
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Color,0.9660000205039978
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Color,0.953000009059906
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Color,0.9419999718666076
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Color,0.7599999904632568
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Area,0.930999994277954
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Area,0.9350000023841858
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Area,0.9079999923706056
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Area,0.7580000162124634
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9390000104904176
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9290000200271606
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9190000295639038
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Color, Area",0.8960000276565552
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.9240000247955322
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.9200000166893004
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.8999999761581421
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Color",0.6639999747276306
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9240000247955322
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9079999923706056
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.8859999775886536
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Area",0.6660000085830688
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Color, Area",0.9350000023841858
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Color, Area",0.9120000004768372
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Color, Area",0.8740000128746033
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Color, Area",0.7059999704360962
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Circularity,0.9070000052452089
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Circularity,0.8859999775886536
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Circularity,0.8939999938011169
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Circularity,0.7210000157356262
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Color,0.9559999704360962
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Color,0.9639999866485596
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Color,0.9330000281333924
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Color,0.7720000147819519
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Area,0.9509999752044678
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Area,0.9430000185966492
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Area,0.9169999957084656
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Area,0.7049999833106995
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9359999895095824
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9470000267028807
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9399999976158142
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Color, Area",0.481000006198883
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.915000021457672
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.9120000004768372
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.8740000128746033
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Color",0.6890000104904175
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9350000023841858
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9229999780654908
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.8970000147819519
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Area",0.7429999709129333
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Color, Area",0.9110000133514404
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Color, Area",0.8980000019073486
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Color, Area",0.8500000238418579
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Color, Area",0.5860000252723694
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Circularity,0.906000018119812
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Circularity,0.8960000276565552
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Circularity,0.8690000176429749
"Equal (0.4, 0.4, 0.4)",fc1 (3),Circularity,0.703000009059906
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Color,0.9559999704360962
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Color,0.9459999799728394
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Color,0.9259999990463256
"Equal (0.4, 0.4, 0.4)",fc1 (3),Color,0.6990000009536743
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Area,0.9240000247955322
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Area,0.9350000023841858
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Area,0.8949999809265137
"Equal (0.4, 0.4, 0.4)",fc1 (3),Area,0.7409999966621399
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9419999718666076
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9520000219345092
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9549999833106996
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Color, Area",0.4880000054836273
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.9089999794960022
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.9100000262260436
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.906000018119812
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Color",0.6370000243186951
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9330000281333924
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9359999895095824
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.906000018119812
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Area",0.8029999732971191
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Color, Area",0.915000021457672
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Color, Area",0.921999990940094
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Color, Area",0.878000020980835
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Color, Area",0.796999990940094
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Circularity,0.9240000247955322
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Circularity,0.9070000052452089
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Circularity,0.912999987602234
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Circularity,0.7440000176429749
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Color,0.9670000076293944
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Color,0.9459999799728394
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Color,0.9449999928474426
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Color,0.7649999856948853
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Area,0.930999994277954
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Area,0.9319999814033508
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Area,0.8880000114440918
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Area,0.6880000233650208
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9319999814033508
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.925000011920929
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9449999928474426
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Color, Area",0.4900000095367431
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.9259999990463256
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.9120000004768372
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.9010000228881836
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Color",0.5989999771118164
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9350000023841858
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9279999732971193
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.9049999713897704
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Area",0.7390000224113464
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Color, Area",0.9300000071525574
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Color, Area",0.8960000276565552
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Color, Area",0.8799999952316284
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Color, Area",0.6859999895095825
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Circularity,0.9079999923706056
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Circularity,0.8859999775886536
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Circularity,0.8659999966621399
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Circularity,0.6660000085830688
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Color,0.953000009059906
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Color,0.9580000042915344
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Color,0.930999994277954
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Color,0.675000011920929
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Area,0.9520000219345092
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Area,0.944000005722046
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Area,0.8999999761581421
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Area,0.6830000281333923
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9449999928474426
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9449999928474426
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.944000005722046
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Color, Area",0.8489999771118164
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.9120000004768372
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.912999987602234
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.8799999952316284
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Color",0.5830000042915344
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9419999718666076
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9279999732971193
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.8989999890327454
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Area",0.6420000195503235
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Color, Area",0.9259999990463256
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Color, Area",0.9139999747276306
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Color, Area",0.906000018119812
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Color, Area",0.7609999775886536
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Circularity,0.9089999794960022
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Circularity,0.8949999809265137
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Circularity,0.8629999756813049
"Equal (0.4, 0.4, 0.4)",fc1 (3),Circularity,0.7540000081062317
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Color,0.9559999704360962
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Color,0.9649999737739564
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Color,0.9240000247955322
"Equal (0.4, 0.4, 0.4)",fc1 (3),Color,0.6990000009536743
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Area,0.9390000104904176
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Area,0.9340000152587892
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Area,0.890999972820282
"Equal (0.4, 0.4, 0.4)",fc1 (3),Area,0.734000027179718
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9359999895095824
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.944000005722046
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.953000009059906
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Color, Area",0.6809999942779541
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.906000018119812
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.9190000295639038
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.8949999809265137
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Color",0.6909999847412109
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9359999895095824
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9409999847412108
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.9079999923706056
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Area",0.5920000076293945
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Color, Area",0.9160000085830688
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Color, Area",0.9179999828338624
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Color, Area",0.8880000114440918
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Color, Area",0.7070000171661377
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Circularity,0.9089999794960022
