,model,variables,layer,accuracy
0,30,"[0, 1, 2]",conv1,0.9480000138282776
1,30,"[0, 1, 2]",conv2,0.9440000057220459
2,30,"[0, 1, 2]",conv3,0.9549999833106995
3,30,"[0, 1]",conv1,0.9340000152587891
4,30,"[0, 1]",conv2,0.921999990940094
5,30,"[0, 1]",conv3,0.890999972820282
6,30,"[0, 2]",conv1,0.9399999976158142
7,30,"[0, 2]",conv2,0.9549999833106995
8,30,"[0, 2]",conv3,0.9190000295639038
9,30,"[1, 2]",conv1,0.9290000200271606
10,30,"[1, 2]",conv2,0.9179999828338623
11,30,"[1, 2]",conv3,0.8799999952316284
12,30,[0],conv1,0.9190000295639038
13,30,[0],conv2,0.925000011920929
14,30,[0],conv3,0.8820000290870667
15,30,[1],conv1,0.9539999961853027
16,30,[1],conv2,0.9599999785423279
17,30,[1],conv3,0.9290000200271606
18,30,[2],conv1,0.9369999766349792
19,30,[2],conv2,0.9259999990463257
20,30,[2],conv3,0.9079999923706055
21,31,"[0, 1, 2]",conv1,0.9419999718666077
22,31,"[0, 1, 2]",conv2,0.949999988079071
23,31,"[0, 1, 2]",conv3,0.9670000076293945
24,31,"[0, 1]",conv1,0.9210000038146973
25,31,"[0, 1]",conv2,0.9290000200271606
26,31,"[0, 1]",conv3,0.9139999747276306
27,31,"[0, 2]",conv1,0.9399999976158142
28,31,"[0, 2]",conv2,0.9330000281333923
29,31,"[0, 2]",conv3,0.921999990940094
30,31,"[1, 2]",conv1,0.902999997138977
31,31,"[1, 2]",conv2,0.9369999766349792
32,31,"[1, 2]",conv3,0.9049999713897705
33,31,[0],conv1,0.9079999923706055
34,31,[0],conv2,0.9290000200271606
35,31,[0],conv3,0.9169999957084656
36,31,[1],conv1,0.9490000009536743
37,31,[1],conv2,0.9620000123977661
38,31,[1],conv3,0.9309999942779541
39,31,[2],conv1,0.9259999990463257
40,31,[2],conv2,0.9200000166893005
41,31,[2],conv3,0.902999997138977
42,32,"[0, 1, 2]",conv1,0.9430000185966492
43,32,"[0, 1, 2]",conv2,0.9629999995231628
44,32,"[0, 1, 2]",conv3,0.953000009059906
45,32,"[0, 1]",conv1,0.9229999780654907
46,32,"[0, 1]",conv2,0.9269999861717224
47,32,"[0, 1]",conv3,0.9120000004768372
48,32,"[0, 2]",conv1,0.9359999895095825
49,32,"[0, 2]",conv2,0.9399999976158142
50,32,"[0, 2]",conv3,0.9279999732971191
51,32,"[1, 2]",conv1,0.9459999799728394
52,32,"[1, 2]",conv2,0.9309999942779541
53,32,"[1, 2]",conv3,0.8880000114440918
54,32,[0],conv1,0.9089999794960022
55,32,[0],conv2,0.9020000100135803
56,32,[0],conv3,0.8930000066757202
57,32,[1],conv1,0.949999988079071
58,32,[1],conv2,0.9629999995231628
59,32,[1],conv3,0.9399999976158142
60,32,[2],conv1,0.9539999961853027
61,32,[2],conv2,0.9440000057220459
62,32,[2],conv3,0.9200000166893005
63,33,"[0, 1, 2]",conv1,0.9480000138282776
64,33,"[0, 1, 2]",conv2,0.953000009059906
65,33,"[0, 1, 2]",conv3,0.9509999752044678
66,33,"[0, 1]",conv1,0.9129999876022339
67,33,"[0, 1]",conv2,0.9359999895095825
68,33,"[0, 1]",conv3,0.8880000114440918
