,model,variables,layer,accuracy
0,0,"[0, 1, 2]",conv1,0.949999988079071
1,0,"[0, 1, 2]",conv2,0.9509999752044678
2,0,"[0, 1, 2]",conv3,0.953000009059906
3,0,"[0, 1]",conv1,0.9359999895095825
4,0,"[0, 1]",conv2,0.9279999732971191
5,0,"[0, 1]",conv3,0.8980000019073486
6,0,"[0, 2]",conv1,0.9380000233650208
7,0,"[0, 2]",conv2,0.9559999704360962
8,0,"[0, 2]",conv3,0.9129999876022339
9,0,"[1, 2]",conv1,0.9390000104904175
10,0,"[1, 2]",conv2,0.9240000247955322
11,0,"[1, 2]",conv3,0.8840000033378601
12,0,[0],conv1,0.9330000281333923
13,0,[0],conv2,0.9300000071525574
14,0,[0],conv3,0.8920000195503235
15,0,[1],conv1,0.9549999833106995
16,0,[1],conv2,0.9599999785423279
17,0,[1],conv3,0.9449999928474426
18,0,[2],conv1,0.9440000057220459
19,0,[2],conv2,0.9290000200271606
20,0,[2],conv3,0.921999990940094
21,1,"[0, 1, 2]",conv1,0.9470000267028809
22,1,"[0, 1, 2]",conv2,0.949999988079071
23,1,"[0, 1, 2]",conv3,0.9679999947547913
24,1,"[0, 1]",conv1,0.9229999780654907
25,1,"[0, 1]",conv2,0.9359999895095825
26,1,"[0, 1]",conv3,0.9139999747276306
27,1,"[0, 2]",conv1,0.9480000138282776
28,1,"[0, 2]",conv2,0.9300000071525574
29,1,"[0, 2]",conv3,0.9419999718666077
30,1,"[1, 2]",conv1,0.9160000085830688
31,1,"[1, 2]",conv2,0.9369999766349792
32,1,"[1, 2]",conv3,0.9179999828338623
33,1,[0],conv1,0.9350000023841858
34,1,[0],conv2,0.9240000247955322
35,1,[0],conv3,0.9210000038146973
36,1,[1],conv1,0.9670000076293945
37,1,[1],conv2,0.9629999995231628
38,1,[1],conv3,0.949999988079071
39,1,[2],conv1,0.9380000233650208
40,1,[2],conv2,0.9300000071525574
41,1,[2],conv3,0.9160000085830688
42,2,"[0, 1, 2]",conv1,0.9459999799728394
43,2,"[0, 1, 2]",conv2,0.9559999704360962
44,2,"[0, 1, 2]",conv3,0.9490000009536743
45,2,"[0, 1]",conv1,0.9290000200271606
46,2,"[0, 1]",conv2,0.9279999732971191
47,2,"[0, 1]",conv3,0.9200000166893005
48,2,"[0, 2]",conv1,0.9369999766349792
49,2,"[0, 2]",conv2,0.9430000185966492
50,2,"[0, 2]",conv3,0.9330000281333923
51,2,"[1, 2]",conv1,0.9419999718666077
52,2,"[1, 2]",conv2,0.9359999895095825
53,2,"[1, 2]",conv3,0.8920000195503235
54,2,[0],conv1,0.9089999794960022
55,2,[0],conv2,0.9160000085830688
56,2,[0],conv3,0.9039999842643738
