,model,variables,layer,accuracy
0,0,"[0, 1, 2]",conv1,0.9430000185966492
1,0,"[0, 1, 2]",conv2,0.9570000171661377
2,0,"[0, 1, 2]",conv3,0.9639999866485596
3,0,"[0, 1]",conv1,0.9449999928474426
4,0,"[0, 1]",conv2,0.9399999976158142
5,0,"[0, 1]",conv3,0.9129999876022339
6,0,"[0, 2]",conv1,0.9459999799728394
7,0,"[0, 2]",conv2,0.9459999799728394
8,0,"[0, 2]",conv3,0.9350000023841858
9,0,"[1, 2]",conv1,0.9409999847412109
10,0,"[1, 2]",conv2,0.9359999895095825
11,0,"[1, 2]",conv3,0.9169999957084656
12,0,[0],conv1,0.9279999732971191
13,0,[0],conv2,0.9309999942779541
14,0,[0],conv3,0.9039999842643738
15,0,[1],conv1,0.9599999785423279
16,0,[1],conv2,0.9570000171661377
17,0,[1],conv3,0.9449999928474426
18,0,[2],conv1,0.9330000281333923
19,0,[2],conv2,0.9440000057220459
20,0,[2],conv3,0.9319999814033508
21,1,"[0, 1, 2]",conv1,0.9539999961853027
22,1,"[0, 1, 2]",conv2,0.9660000205039978
23,1,"[0, 1, 2]",conv3,0.9710000157356262
24,1,"[0, 1]",conv1,0.9290000200271606
25,1,"[0, 1]",conv2,0.9480000138282776
26,1,"[0, 1]",conv3,0.9459999799728394
27,1,"[0, 2]",conv1,0.9390000104904175
28,1,"[0, 2]",conv2,0.9369999766349792
29,1,"[0, 2]",conv3,0.9589999914169312
30,1,"[1, 2]",conv1,0.9179999828338623
31,1,"[1, 2]",conv2,0.9470000267028809
32,1,"[1, 2]",conv3,0.9259999990463257
33,1,[0],conv1,0.9350000023841858
34,1,[0],conv2,0.9290000200271606
35,1,[0],conv3,0.9390000104904175
36,1,[1],conv1,0.9449999928474426
37,1,[1],conv2,0.9589999914169312
38,1,[1],conv3,0.9520000219345093
39,1,[2],conv1,0.9290000200271606
40,1,[2],conv2,0.9359999895095825
41,1,[2],conv3,0.9369999766349792
42,2,"[0, 1, 2]",conv1,0.9409999847412109
43,2,"[0, 1, 2]",conv2,0.9539999961853027
44,2,"[0, 1, 2]",conv3,0.9710000157356262
45,2,"[0, 1]",conv1,0.9409999847412109
46,2,"[0, 1]",conv2,0.9409999847412109
47,2,"[0, 1]",conv3,0.9309999942779541
48,2,"[0, 2]",conv1,0.9559999704360962
49,2,"[0, 2]",conv2,0.9520000219345093
50,2,"[0, 2]",conv3,0.9570000171661377
51,2,"[1, 2]",conv1,0.9359999895095825
52,2,"[1, 2]",conv2,0.9399999976158142
53,2,"[1, 2]",conv3,0.9160000085830688
54,2,[0],conv1,0.9330000281333923
55,2,[0],conv2,0.9269999861717224
56,2,[0],conv3,0.9150000214576721
57,2,[1],conv1,0.9620000123977661
58,2,[1],conv2,0.9559999704360962
59,2,[1],conv3,0.9580000042915344
60,2,[2],conv1,0.9240000247955322
61,2,[2],conv2,0.9509999752044678
62,2,[2],conv3,0.9330000281333923
63,3,"[0, 1, 2]",conv1,0.9419999718666077
64,3,"[0, 1, 2]",conv2,0.9660000205039978
65,3,"[0, 1, 2]",conv3,0.9679999947547913
66,3,"[0, 1]",conv1,0.9210000038146973
67,3,"[0, 1]",conv2,0.9490000009536743
68,3,"[0, 1]",conv3,0.9079999923706055
69,3,"[0, 2]",conv1,0.9399999976158142
70,3,"[0, 2]",conv2,0.9470000267028809
71,3,"[0, 2]",conv3,0.9179999828338623
72,3,"[1, 2]",conv1,0.9129999876022339
73,3,"[1, 2]",conv2,0.9330000281333923
74,3,"[1, 2]",conv3,0.9049999713897705
75,3,[0],conv1,0.9120000004768372
76,3,[0],conv2,0.9279999732971191
77,3,[0],conv3,0.9330000281333923
78,3,[1],conv1,0.9520000219345093
79,3,[1],conv2,0.9539999961853027
80,3,[1],conv3,0.9390000104904175
81,3,[2],conv1,0.9380000233650208
82,3,[2],conv2,0.9480000138282776
83,3,[2],conv3,0.925000011920929
84,4,"[0, 1, 2]",conv1,0.9509999752044678
85,4,"[0, 1, 2]",conv2,0.9559999704360962
86,4,"[0, 1, 2]",conv3,0.9629999995231628
87,4,"[0, 1]",conv1,0.9419999718666077
88,4,"[0, 1]",conv2,0.9549999833106995
89,4,"[0, 1]",conv3,0.9330000281333923
90,4,"[0, 2]",conv1,0.9369999766349792
91,4,"[0, 2]",conv2,0.949999988079071
92,4,"[0, 2]",conv3,0.9559999704360962
93,4,"[1, 2]",conv1,0.9399999976158142
94,4,"[1, 2]",conv2,0.9340000152587891
95,4,"[1, 2]",conv3,0.9309999942779541
96,4,[0],conv1,0.9399999976158142
97,4,[0],conv2,0.9340000152587891
98,4,[0],conv3,0.9210000038146973
99,4,[1],conv1,0.9779999852180481
100,4,[1],conv2,0.9670000076293945
101,4,[1],conv3,0.9470000267028809
102,4,[2],conv1,0.9359999895095825
103,4,[2],conv2,0.9419999718666077
104,4,[2],conv3,0.9309999942779541
105,5,"[0, 1, 2]",conv1,0.9359999895095825
106,5,"[0, 1, 2]",conv2,0.9419999718666077
107,5,"[0, 1, 2]",conv3,0.9620000123977661
108,5,"[0, 1]",conv1,0.9319999814033508
109,5,"[0, 1]",conv2,0.949999988079071
110,5,"[0, 1]",conv3,0.9459999799728394
111,5,"[0, 2]",conv1,0.9369999766349792
112,5,"[0, 2]",conv2,0.9350000023841858
113,5,"[0, 2]",conv3,0.9350000023841858
114,5,"[1, 2]",conv1,0.921999990940094
115,5,"[1, 2]",conv2,0.9470000267028809
116,5,"[1, 2]",conv3,0.8970000147819519
117,5,[0],conv1,0.9169999957084656
118,5,[0],conv2,0.9350000023841858
119,5,[0],conv3,0.9070000052452087
