,model,variables,layer,accuracy
0,30,"[0, 1, 2]",conv1,0.9490000009536743
1,30,"[0, 1, 2]",conv2,0.953000009059906
2,30,"[0, 1, 2]",conv3,0.9629999995231628
3,30,"[0, 1]",conv1,0.9399999976158142
4,30,"[0, 1]",conv2,0.9269999861717224
5,30,"[0, 1]",conv3,0.9129999876022339
6,30,"[0, 2]",conv1,0.9440000057220459
7,30,"[0, 2]",conv2,0.9480000138282776
8,30,"[0, 2]",conv3,0.9350000023841858
9,30,"[1, 2]",conv1,0.9259999990463257
10,30,"[1, 2]",conv2,0.9350000023841858
11,30,"[1, 2]",conv3,0.902999997138977
12,30,[0],conv1,0.9200000166893005
13,30,[0],conv2,0.9309999942779541
14,30,[0],conv3,0.8960000276565552
15,30,[1],conv1,0.9639999866485596
16,30,[1],conv2,0.9539999961853027
17,30,[1],conv3,0.9399999976158142
18,30,[2],conv1,0.9380000233650208
19,30,[2],conv2,0.9309999942779541
20,30,[2],conv3,0.9279999732971191
21,31,"[0, 1, 2]",conv1,0.953000009059906
22,31,"[0, 1, 2]",conv2,0.9480000138282776
23,31,"[0, 1, 2]",conv3,0.9729999899864197
24,31,"[0, 1]",conv1,0.9269999861717224
25,31,"[0, 1]",conv2,0.9409999847412109
26,31,"[0, 1]",conv3,0.9300000071525574
27,31,"[0, 2]",conv1,0.9409999847412109
28,31,"[0, 2]",conv2,0.949999988079071
29,31,"[0, 2]",conv3,0.9539999961853027
30,31,"[1, 2]",conv1,0.9150000214576721
31,31,"[1, 2]",conv2,0.9440000057220459
32,31,"[1, 2]",conv3,0.9330000281333923
33,31,[0],conv1,0.9200000166893005
34,31,[0],conv2,0.9240000247955322
35,31,[0],conv3,0.9190000295639038
36,31,[1],conv1,0.9359999895095825
37,31,[1],conv2,0.949999988079071
38,31,[1],conv3,0.9549999833106995
39,31,[2],conv1,0.9190000295639038
40,31,[2],conv2,0.9340000152587891
41,31,[2],conv3,0.9169999957084656
42,32,"[0, 1, 2]",conv1,0.9419999718666077
43,32,"[0, 1, 2]",conv2,0.9539999961853027
44,32,"[0, 1, 2]",conv3,0.9679999947547913
45,32,"[0, 1]",conv1,0.9369999766349792
46,32,"[0, 1]",conv2,0.9480000138282776
47,32,"[0, 1]",conv3,0.9279999732971191
48,32,"[0, 2]",conv1,0.9440000057220459
49,32,"[0, 2]",conv2,0.9559999704360962
50,32,"[0, 2]",conv3,0.9459999799728394
51,32,"[1, 2]",conv1,0.9409999847412109
52,32,"[1, 2]",conv2,0.9449999928474426
53,32,"[1, 2]",conv3,0.9010000228881836
54,32,[0],conv1,0.9240000247955322
55,32,[0],conv2,0.9210000038146973
56,32,[0],conv3,0.9139999747276306
57,32,[1],conv1,0.9549999833106995
58,32,[1],conv2,0.9449999928474426
59,32,[1],conv3,0.9520000219345093
60,32,[2],conv1,0.9419999718666077
61,32,[2],conv2,0.9470000267028809
62,32,[2],conv3,0.9300000071525574
63,33,"[0, 1, 2]",conv1,0.949999988079071
64,33,"[0, 1, 2]",conv2,0.9679999947547913
65,33,"[0, 1, 2]",conv3,0.9649999737739563
66,33,"[0, 1]",conv1,0.9190000295639038
67,33,"[0, 1]",conv2,0.9290000200271606
68,33,"[0, 1]",conv3,0.9100000262260437
69,33,"[0, 2]",conv1,0.9330000281333923
70,33,"[0, 2]",conv2,0.9430000185966492
71,33,"[0, 2]",conv3,0.9240000247955322
72,33,"[1, 2]",conv1,0.9240000247955322
73,33,"[1, 2]",conv2,0.9240000247955322
74,33,"[1, 2]",conv3,0.9120000004768372
75,33,[0],conv1,0.9179999828338623
76,33,[0],conv2,0.9309999942779541
77,33,[0],conv3,0.9290000200271606
78,33,[1],conv1,0.9490000009536743
79,33,[1],conv2,0.9539999961853027
80,33,[1],conv3,0.9359999895095825
81,33,[2],conv1,0.9330000281333923
82,33,[2],conv2,0.9449999928474426
83,33,[2],conv3,0.9229999780654907
84,34,"[0, 1, 2]",conv1,0.9539999961853027
85,34,"[0, 1, 2]",conv2,0.9449999928474426
86,34,"[0, 1, 2]",conv3,0.9610000252723694
87,34,"[0, 1]",conv1,0.9340000152587891
88,34,"[0, 1]",conv2,0.9610000252723694
89,34,"[0, 1]",conv3,0.9190000295639038
90,34,"[0, 2]",conv1,0.9409999847412109
91,34,"[0, 2]",conv2,0.9490000009536743
92,34,"[0, 2]",conv3,0.9430000185966492
93,34,"[1, 2]",conv1,0.9459999799728394
94,34,"[1, 2]",conv2,0.9480000138282776
95,34,"[1, 2]",conv3,0.9279999732971191
96,34,[0],conv1,0.9570000171661377
97,34,[0],conv2,0.9350000023841858
98,34,[0],conv3,0.9259999990463257
99,34,[1],conv1,0.9700000286102295
100,34,[1],conv2,0.9520000219345093
101,34,[1],conv3,0.9580000042915344
102,34,[2],conv1,0.9330000281333923
103,34,[2],conv2,0.9470000267028809
104,34,[2],conv3,0.9309999942779541
105,35,"[0, 1, 2]",conv1,0.9259999990463257
106,35,"[0, 1, 2]",conv2,0.953000009059906
107,35,"[0, 1, 2]",conv3,0.9520000219345093
108,35,"[0, 1]",conv1,0.9350000023841858
109,35,"[0, 1]",conv2,0.949999988079071
110,35,"[0, 1]",conv3,0.9390000104904175
111,35,"[0, 2]",conv1,0.9459999799728394
112,35,"[0, 2]",conv2,0.9380000233650208
113,35,"[0, 2]",conv3,0.9340000152587891
114,35,"[1, 2]",conv1,0.9359999895095825
115,35,"[1, 2]",conv2,0.9509999752044678
116,35,"[1, 2]",conv3,0.9079999923706055
117,35,[0],conv1,0.9150000214576721
118,35,[0],conv2,0.9380000233650208
119,35,[0],conv3,0.9150000214576721
120,35,[1],conv1,0.9509999752044678
121,35,[1],conv2,0.9470000267028809
122,35,[1],conv3,0.9350000023841858
123,35,[2],conv1,0.9520000219345093
124,35,[2],conv2,0.9399999976158142
125,35,[2],conv3,0.9279999732971191
126,36,"[0, 1, 2]",conv1,0.9409999847412109
127,36,"[0, 1, 2]",conv2,0.9580000042915344
128,36,"[0, 1, 2]",conv3,0.9580000042915344
129,36,"[0, 1]",conv1,0.953000009059906
130,36,"[0, 1]",conv2,0.949999988079071
131,36,"[0, 1]",conv3,0.9210000038146973
132,36,"[0, 2]",conv1,0.9110000133514404
133,36,"[0, 2]",conv2,0.9440000057220459
134,36,"[0, 2]",conv3,0.9359999895095825
135,36,"[1, 2]",conv1,0.9390000104904175
136,36,"[1, 2]",conv2,0.9340000152587891
137,36,"[1, 2]",conv3,0.9169999957084656
138,36,[0],conv1,0.9369999766349792
139,36,[0],conv2,0.9399999976158142
140,36,[0],conv3,0.9089999794960022
141,36,[1],conv1,0.9559999704360962
142,36,[1],conv2,0.9359999895095825
143,36,[1],conv3,0.9480000138282776
144,36,[2],conv1,0.9419999718666077
145,36,[2],conv2,0.9390000104904175
