training objective,layer,variables localized,accuracy,model index,size
"Equal (0.4, 0.4, 0.4)",conv1,,0.944000005722046,0,4
"Equal (0.4, 0.4, 0.4)",conv2,,0.9409999847412108,0,4
"Equal (0.4, 0.4, 0.4)",conv3,,0.9470000267028807,0,4
"Equal (0.4, 0.4, 0.4)",,,0.4950000047683716,0,4
"Equal (0.4, 0.4, 0.4)",conv1,,0.906000018119812,0,4
"Equal (0.4, 0.4, 0.4)",conv2,,0.8949999809265137,0,4
"Equal (0.4, 0.4, 0.4)",conv3,,0.8840000033378601,0,4
"Equal (0.4, 0.4, 0.4)",,,0.7649999856948853,0,4
"Equal (0.4, 0.4, 0.4)",conv1,"Circularity, Area",0.9190000295639038,0,4
"Equal (0.4, 0.4, 0.4)",conv2,"Circularity, Area",0.9259999990463256,0,4
"Equal (0.4, 0.4, 0.4)",conv3,"Circularity, Area",0.9039999842643738,0,4
"Equal (0.4, 0.4, 0.4)",,"Circularity, Area",0.7049999833106995,0,4
"Equal (0.4, 0.4, 0.4)",conv1,,0.9300000071525574,0,4
"Equal (0.4, 0.4, 0.4)",conv2,,0.8949999809265137,0,4
"Equal (0.4, 0.4, 0.4)",conv3,,0.8759999871253967,0,4
"Equal (0.4, 0.4, 0.4)",,,0.7419999837875366,0,4
"Equal (0.4, 0.4, 0.4)",conv1,Circularity,0.9120000004768372,0,4
"Equal (0.4, 0.4, 0.4)",conv2,Circularity,0.9079999923706056,0,4
"Equal (0.4, 0.4, 0.4)",conv3,Circularity,0.8849999904632568,0,4
"Equal (0.4, 0.4, 0.4)",,Circularity,0.7300000190734863,0,4
"Equal (0.4, 0.4, 0.4)",conv1,Color,0.9539999961853028,0,4
"Equal (0.4, 0.4, 0.4)",conv2,Color,0.959999978542328,0,4
"Equal (0.4, 0.4, 0.4)",conv3,Color,0.9470000267028807,0,4
"Equal (0.4, 0.4, 0.4)",,Color,0.7419999837875366,0,4
"Equal (0.4, 0.4, 0.4)",conv1,Area,0.930999994277954,0,4
"Equal (0.4, 0.4, 0.4)",conv2,Area,0.9259999990463256,0,4
"Equal (0.4, 0.4, 0.4)",conv3,Area,0.8830000162124634,0,4
"Equal (0.4, 0.4, 0.4)",,Area,0.6940000057220459,0,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,,0.9340000152587892,1,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,,0.9419999718666076,1,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,,0.9490000009536744,1,4
"Prefer Area (0.3, 0.4, 0.5)",,,0.4880000054836273,1,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,,0.8880000114440918,1,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,,0.9390000104904176,1,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,,0.912999987602234,1,4
"Prefer Area (0.3, 0.4, 0.5)",,,0.7070000171661377,1,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,"Circularity, Area",0.9330000281333924,1,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,"Circularity, Area",0.944000005722046,1,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,"Circularity, Area",0.921999990940094,1,4
"Prefer Area (0.3, 0.4, 0.5)",,"Circularity, Area",0.609000027179718,1,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,,0.9190000295639038,1,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,,0.9139999747276306,1,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,,0.9179999828338624,1,4
"Prefer Area (0.3, 0.4, 0.5)",,,0.5659999847412109,1,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,Circularity,0.921999990940094,1,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,Circularity,0.9210000038146972,1,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,Circularity,0.9160000085830688,1,4
"Prefer Area (0.3, 0.4, 0.5)",,Circularity,0.8270000219345093,1,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,Color,0.9679999947547911,1,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,Color,0.9710000157356262,1,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,Color,0.9559999704360962,1,4
"Prefer Area (0.3, 0.4, 0.5)",,Color,0.7310000061988831,1,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,Area,0.9350000023841858,1,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,Area,0.9319999814033508,1,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,Area,0.9039999842643738,1,4
"Prefer Area (0.3, 0.4, 0.5)",,Area,0.6710000038146973,1,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,,0.9430000185966492,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,,0.9300000071525574,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,,0.9210000038146972,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",,,0.5839999914169312,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,,0.915000021457672,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,,0.9079999923706056,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,,0.9049999713897704,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",,,0.8059999942779541,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,"Circularity, Area",0.9430000185966492,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,"Circularity, Area",0.8920000195503235,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,"Circularity, Area",0.9279999732971193,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",,"Circularity, Area",0.6119999885559082,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,,0.9210000038146972,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,,0.9070000052452089,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,,0.8870000243186951,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",,,0.6899999976158142,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,Circularity,0.9049999713897704,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,Circularity,0.878000020980835,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,Circularity,0.8769999742507935,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",,Circularity,0.7350000143051147,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,Color,0.968999981880188,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,Color,0.949999988079071,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,Color,0.9269999861717224,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",,Color,0.753000020980835,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,Area,0.9419999718666076,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,Area,0.9409999847412108,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,Area,0.9380000233650208,2,4
"Prefer Circularity (0.5, 0.4, 0.3)",,Area,0.8040000200271606,2,4
"Equal (0.4, 0.4, 0.4)",conv1,,0.9369999766349792,3,4
"Equal (0.4, 0.4, 0.4)",conv2,,0.9399999976158142,3,4
"Equal (0.4, 0.4, 0.4)",conv3,,0.9520000219345092,3,4
"Equal (0.4, 0.4, 0.4)",,,0.8769999742507935,3,4
"Equal (0.4, 0.4, 0.4)",conv1,,0.9169999957084656,3,4
"Equal (0.4, 0.4, 0.4)",conv2,,0.8970000147819519,3,4
"Equal (0.4, 0.4, 0.4)",conv3,,0.878000020980835,3,4
"Equal (0.4, 0.4, 0.4)",,,0.6899999976158142,3,4
"Equal (0.4, 0.4, 0.4)",conv1,"Circularity, Area",0.9340000152587892,3,4
"Equal (0.4, 0.4, 0.4)",conv2,"Circularity, Area",0.9229999780654908,3,4
"Equal (0.4, 0.4, 0.4)",conv3,"Circularity, Area",0.8930000066757202,3,4
"Equal (0.4, 0.4, 0.4)",,"Circularity, Area",0.7009999752044678,3,4
"Equal (0.4, 0.4, 0.4)",conv1,,0.9259999990463256,3,4
"Equal (0.4, 0.4, 0.4)",conv2,,0.915000021457672,3,4
"Equal (0.4, 0.4, 0.4)",conv3,,0.8539999723434448,3,4
"Equal (0.4, 0.4, 0.4)",,,0.6899999976158142,3,4
"Equal (0.4, 0.4, 0.4)",conv1,Circularity,0.8939999938011169,3,4
"Equal (0.4, 0.4, 0.4)",conv2,Circularity,0.915000021457672,3,4
"Equal (0.4, 0.4, 0.4)",conv3,Circularity,0.8859999775886536,3,4
"Equal (0.4, 0.4, 0.4)",,Circularity,0.7400000095367432,3,4
"Equal (0.4, 0.4, 0.4)",conv1,Color,0.9649999737739564,3,4
"Equal (0.4, 0.4, 0.4)",conv2,Color,0.9520000219345092,3,4
"Equal (0.4, 0.4, 0.4)",conv3,Color,0.9419999718666076,3,4
"Equal (0.4, 0.4, 0.4)",,Color,0.7229999899864197,3,4
"Equal (0.4, 0.4, 0.4)",conv1,Area,0.9359999895095824,3,4
"Equal (0.4, 0.4, 0.4)",conv2,Area,0.9229999780654908,3,4
"Equal (0.4, 0.4, 0.4)",conv3,Area,0.8939999938011169,3,4
"Equal (0.4, 0.4, 0.4)",,Area,0.7200000286102295,3,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,,0.9350000023841858,4,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,,0.9509999752044678,4,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,,0.9559999704360962,4,4
"Prefer Area (0.3, 0.4, 0.5)",,,0.8130000233650208,4,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,,0.9259999990463256,4,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,,0.9070000052452089,4,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,,0.8859999775886536,4,4
"Prefer Area (0.3, 0.4, 0.5)",,,0.7770000100135803,4,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,"Circularity, Area",0.9430000185966492,4,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,"Circularity, Area",0.9459999799728394,4,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,"Circularity, Area",0.9079999923706056,4,4
"Prefer Area (0.3, 0.4, 0.5)",,"Circularity, Area",0.574999988079071,4,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,,0.9200000166893004,4,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,,0.8980000019073486,4,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,,0.9049999713897704,4,4
"Prefer Area (0.3, 0.4, 0.5)",,,0.7839999794960022,4,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,Circularity,0.9340000152587892,4,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,Circularity,0.9300000071525574,4,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,Circularity,0.9269999861717224,4,4
"Prefer Area (0.3, 0.4, 0.5)",,Circularity,0.7749999761581421,4,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,Color,0.9700000286102296,4,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,Color,0.9589999914169312,4,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,Color,0.9509999752044678,4,4
"Prefer Area (0.3, 0.4, 0.5)",,Color,0.6980000138282776,4,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,Area,0.9269999861717224,4,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,Area,0.9380000233650208,4,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,Area,0.902999997138977,4,4
"Prefer Area (0.3, 0.4, 0.5)",,Area,0.6420000195503235,4,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,,0.9369999766349792,5,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,,0.9409999847412108,5,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,,0.925000011920929,5,4
"Prefer Circularity (0.5, 0.4, 0.3)",,,0.7910000085830688,5,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,,0.930999994277954,5,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,,0.9330000281333924,5,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,,0.9120000004768372,5,4
"Prefer Circularity (0.5, 0.4, 0.3)",,,0.7020000219345093,5,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,"Circularity, Area",0.9070000052452089,5,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,"Circularity, Area",0.9039999842643738,5,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,"Circularity, Area",0.9049999713897704,5,4
"Prefer Circularity (0.5, 0.4, 0.3)",,"Circularity, Area",0.7049999833106995,5,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,,0.9269999861717224,5,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,,0.925000011920929,5,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,,0.8759999871253967,5,4
"Prefer Circularity (0.5, 0.4, 0.3)",,,0.7490000128746033,5,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,Circularity,0.9110000133514404,5,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,Circularity,0.8859999775886536,5,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,Circularity,0.8939999938011169,5,4
"Prefer Circularity (0.5, 0.4, 0.3)",,Circularity,0.6570000052452087,5,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,Color,0.959999978542328,5,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,Color,0.9610000252723694,5,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,Color,0.9319999814033508,5,4
"Prefer Circularity (0.5, 0.4, 0.3)",,Color,0.7599999904632568,5,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,Area,0.9409999847412108,5,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,Area,0.9399999976158142,5,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,Area,0.9010000228881836,5,4
"Prefer Circularity (0.5, 0.4, 0.3)",,Area,0.8220000267028809,5,4
"Equal (0.4, 0.4, 0.4)",conv1,,0.9369999766349792,6,4
"Equal (0.4, 0.4, 0.4)",conv2,,0.9539999961853028,6,4
"Equal (0.4, 0.4, 0.4)",conv3,,0.9330000281333924,6,4
"Equal (0.4, 0.4, 0.4)",,,0.5210000276565552,6,4
"Equal (0.4, 0.4, 0.4)",conv1,,0.9039999842643738,6,4
"Equal (0.4, 0.4, 0.4)",conv2,,0.9200000166893004,6,4
"Equal (0.4, 0.4, 0.4)",conv3,,0.8989999890327454,6,4
"Equal (0.4, 0.4, 0.4)",,,0.7120000123977661,6,4
"Equal (0.4, 0.4, 0.4)",conv1,"Circularity, Area",0.9390000104904176,6,4
"Equal (0.4, 0.4, 0.4)",conv2,"Circularity, Area",0.921999990940094,6,4
"Equal (0.4, 0.4, 0.4)",conv3,"Circularity, Area",0.9200000166893004,6,4
"Equal (0.4, 0.4, 0.4)",,"Circularity, Area",0.6159999966621399,6,4
"Equal (0.4, 0.4, 0.4)",conv1,,0.9240000247955322,6,4
"Equal (0.4, 0.4, 0.4)",conv2,,0.8949999809265137,6,4
"Equal (0.4, 0.4, 0.4)",conv3,,0.8709999918937683,6,4
"Equal (0.4, 0.4, 0.4)",,,0.6019999980926514,6,4
"Equal (0.4, 0.4, 0.4)",conv1,Circularity,0.912999987602234,6,4
"Equal (0.4, 0.4, 0.4)",conv2,Circularity,0.9039999842643738,6,4
"Equal (0.4, 0.4, 0.4)",conv3,Circularity,0.8830000162124634,6,4
"Equal (0.4, 0.4, 0.4)",,Circularity,0.7120000123977661,6,4
"Equal (0.4, 0.4, 0.4)",conv1,Color,0.9490000009536744,6,4
"Equal (0.4, 0.4, 0.4)",conv2,Color,0.9520000219345092,6,4
"Equal (0.4, 0.4, 0.4)",conv3,Color,0.9480000138282776,6,4
"Equal (0.4, 0.4, 0.4)",,Color,0.6899999976158142,6,4
"Equal (0.4, 0.4, 0.4)",conv1,Area,0.9340000152587892,6,4
"Equal (0.4, 0.4, 0.4)",conv2,Area,0.9300000071525574,6,4
"Equal (0.4, 0.4, 0.4)",conv3,Area,0.902999997138977,6,4
"Equal (0.4, 0.4, 0.4)",,Area,0.7319999933242798,6,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,,0.9359999895095824,7,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,,0.9559999704360962,7,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,,0.9490000009536744,7,4
"Prefer Area (0.3, 0.4, 0.5)",,,0.5139999985694885,7,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,,0.902999997138977,7,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,,0.915000021457672,7,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,,0.9039999842643738,7,4
"Prefer Area (0.3, 0.4, 0.5)",,,0.628000020980835,7,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,"Circularity, Area",0.9409999847412108,7,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,"Circularity, Area",0.9369999766349792,7,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,"Circularity, Area",0.8949999809265137,7,4
"Prefer Area (0.3, 0.4, 0.5)",,"Circularity, Area",0.7329999804496765,7,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,,0.9169999957084656,7,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,,0.9229999780654908,7,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,,0.8889999985694885,7,4
"Prefer Area (0.3, 0.4, 0.5)",,,0.7609999775886536,7,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,Circularity,0.9359999895095824,7,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,Circularity,0.9120000004768372,7,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,Circularity,0.9020000100135804,7,4
"Prefer Area (0.3, 0.4, 0.5)",,Circularity,0.7879999876022339,7,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,Color,0.9660000205039978,7,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,Color,0.9480000138282776,7,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,Color,0.944000005722046,7,4
"Prefer Area (0.3, 0.4, 0.5)",,Color,0.7889999747276306,7,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,Area,0.9269999861717224,7,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,Area,0.9409999847412108,7,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,Area,0.8899999856948853,7,4
"Prefer Area (0.3, 0.4, 0.5)",,Area,0.6549999713897705,7,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,,0.9359999895095824,8,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,,0.9190000295639038,8,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,,0.9350000023841858,8,4
"Prefer Circularity (0.5, 0.4, 0.3)",,,0.4830000102519989,8,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,,0.9110000133514404,8,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,,0.9110000133514404,8,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,,0.906000018119812,8,4
"Prefer Circularity (0.5, 0.4, 0.3)",,,0.597000002861023,8,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,"Circularity, Area",0.9390000104904176,8,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,"Circularity, Area",0.9200000166893004,8,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,"Circularity, Area",0.9070000052452089,8,4
"Prefer Circularity (0.5, 0.4, 0.3)",,"Circularity, Area",0.7350000143051147,8,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,,0.9319999814033508,8,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,,0.906000018119812,8,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,,0.9100000262260436,8,4
"Prefer Circularity (0.5, 0.4, 0.3)",,,0.6830000281333923,8,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,Circularity,0.9049999713897704,8,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,Circularity,0.8989999890327454,8,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,Circularity,0.8759999871253967,8,4
"Prefer Circularity (0.5, 0.4, 0.3)",,Circularity,0.6729999780654907,8,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,Color,0.9610000252723694,8,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,Color,0.9570000171661376,8,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,Color,0.9350000023841858,8,4
"Prefer Circularity (0.5, 0.4, 0.3)",,Color,0.6809999942779541,8,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,Area,0.9580000042915344,8,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,Area,0.944000005722046,8,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,Area,0.9079999923706056,8,4
"Prefer Circularity (0.5, 0.4, 0.3)",,Area,0.6539999842643738,8,4
"Equal (0.4, 0.4, 0.4)",conv1,,0.9300000071525574,9,4
"Equal (0.4, 0.4, 0.4)",conv2,,0.9390000104904176,9,4
"Equal (0.4, 0.4, 0.4)",conv3,,0.9319999814033508,9,4
"Equal (0.4, 0.4, 0.4)",,,0.5630000233650208,9,4
"Equal (0.4, 0.4, 0.4)",conv1,,0.9240000247955322,9,4
"Equal (0.4, 0.4, 0.4)",conv2,,0.912999987602234,9,4
"Equal (0.4, 0.4, 0.4)",conv3,,0.8650000095367432,9,4
"Equal (0.4, 0.4, 0.4)",,,0.6980000138282776,9,4
"Equal (0.4, 0.4, 0.4)",conv1,"Circularity, Area",0.9380000233650208,9,4
"Equal (0.4, 0.4, 0.4)",conv2,"Circularity, Area",0.9279999732971193,9,4
"Equal (0.4, 0.4, 0.4)",conv3,"Circularity, Area",0.9210000038146972,9,4
"Equal (0.4, 0.4, 0.4)",,"Circularity, Area",0.7889999747276306,9,4
"Equal (0.4, 0.4, 0.4)",conv1,,0.9120000004768372,9,4
"Equal (0.4, 0.4, 0.4)",conv2,,0.925000011920929,9,4
"Equal (0.4, 0.4, 0.4)",conv3,,0.890999972820282,9,4
"Equal (0.4, 0.4, 0.4)",,,0.6800000071525574,9,4
"Equal (0.4, 0.4, 0.4)",conv1,Circularity,0.9179999828338624,9,4
"Equal (0.4, 0.4, 0.4)",conv2,Circularity,0.9079999923706056,9,4
"Equal (0.4, 0.4, 0.4)",conv3,Circularity,0.8659999966621399,9,4
"Equal (0.4, 0.4, 0.4)",,Circularity,0.6330000162124634,9,4
"Equal (0.4, 0.4, 0.4)",conv1,Color,0.9520000219345092,9,4
"Equal (0.4, 0.4, 0.4)",conv2,Color,0.9649999737739564,9,4
"Equal (0.4, 0.4, 0.4)",conv3,Color,0.930999994277954,9,4
"Equal (0.4, 0.4, 0.4)",,Color,0.7160000205039978,9,4
"Equal (0.4, 0.4, 0.4)",conv1,Area,0.9390000104904176,9,4
"Equal (0.4, 0.4, 0.4)",conv2,Area,0.9380000233650208,9,4
"Equal (0.4, 0.4, 0.4)",conv3,Area,0.8889999985694885,9,4
"Equal (0.4, 0.4, 0.4)",,Area,0.6480000019073486,9,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,,0.9259999990463256,10,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,,0.953000009059906,10,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,,0.953000009059906,10,4
"Prefer Area (0.3, 0.4, 0.5)",,,0.6740000247955322,10,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,,0.9089999794960022,10,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,,0.9120000004768372,10,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,,0.8920000195503235,10,4
"Prefer Area (0.3, 0.4, 0.5)",,,0.6159999966621399,10,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,"Circularity, Area",0.9300000071525574,10,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,"Circularity, Area",0.9419999718666076,10,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,"Circularity, Area",0.9169999957084656,10,4
"Prefer Area (0.3, 0.4, 0.5)",,"Circularity, Area",0.7540000081062317,10,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,,0.9100000262260436,10,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,,0.912999987602234,10,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,,0.8970000147819519,10,4
"Prefer Area (0.3, 0.4, 0.5)",,,0.5590000152587891,10,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,Circularity,0.9079999923706056,10,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,Circularity,0.930999994277954,10,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,Circularity,0.9070000052452089,10,4
"Prefer Area (0.3, 0.4, 0.5)",,Circularity,0.6859999895095825,10,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,Color,0.9559999704360962,10,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,Color,0.9629999995231628,10,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,Color,0.9319999814033508,10,4
"Prefer Area (0.3, 0.4, 0.5)",,Color,0.7379999756813049,10,4
"Prefer Area (0.3, 0.4, 0.5)",conv1,Area,0.9279999732971193,10,4
"Prefer Area (0.3, 0.4, 0.5)",conv2,Area,0.9359999895095824,10,4
"Prefer Area (0.3, 0.4, 0.5)",conv3,Area,0.890999972820282,10,4
"Prefer Area (0.3, 0.4, 0.5)",,Area,0.7099999785423279,10,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,,0.9169999957084656,11,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,,0.9390000104904176,11,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,,0.944000005722046,11,4
"Prefer Circularity (0.5, 0.4, 0.3)",,,0.8999999761581421,11,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,,0.9160000085830688,11,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,,0.930999994277954,11,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,,0.8870000243186951,11,4
"Prefer Circularity (0.5, 0.4, 0.3)",,,0.5849999785423279,11,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,"Circularity, Area",0.9290000200271606,11,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,"Circularity, Area",0.9079999923706056,11,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,"Circularity, Area",0.9039999842643738,11,4
"Prefer Circularity (0.5, 0.4, 0.3)",,"Circularity, Area",0.6800000071525574,11,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,,0.9330000281333924,11,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,,0.930999994277954,11,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,,0.8629999756813049,11,4
"Prefer Circularity (0.5, 0.4, 0.3)",,,0.6930000185966492,11,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,Circularity,0.9139999747276306,11,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,Circularity,0.9049999713897704,11,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,Circularity,0.8740000128746033,11,4
"Prefer Circularity (0.5, 0.4, 0.3)",,Circularity,0.7289999723434448,11,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1,Color,0.9589999914169312,11,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv2,Color,0.9649999737739564,11,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv3,Color,0.9229999780654908,11,4
"Prefer Circularity (0.5, 0.4, 0.3)",,Color,0.7329999804496765,11,4
