training objective,layer,variables localized,interchange intervention accuracy,model index
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Color, Area",0.9190000295639038,1
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Color, Area",0.9139999747276306,1
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Color, Area",0.9179999828338624,1
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Color, Area",0.5659999847412109,1
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Circularity,0.921999990940094,1
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Circularity,0.9210000038146972,1
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Circularity,0.9160000085830688,1
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Circularity,0.8270000219345093,1
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Color,0.9679999947547911,1
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Color,0.9710000157356262,1
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Color,0.9559999704360962,1
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Color,0.7310000061988831,1
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Area,0.9350000023841858,1
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Area,0.9319999814033508,1
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Area,0.9039999842643738,1
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Area,0.6710000038146973,1
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9430000185966492,2
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9300000071525574,2
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9210000038146972,2
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Color, Area",0.5839999914169312,2
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.915000021457672,2
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.9079999923706056,2
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.9049999713897704,2
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Color",0.8059999942779541,2
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9430000185966492,2
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.8920000195503235,2
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.9279999732971193,2
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Area",0.6119999885559082,2
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Color, Area",0.9210000038146972,2
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Color, Area",0.9070000052452089,2
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Color, Area",0.8870000243186951,2
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Color, Area",0.6899999976158142,2
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Circularity,0.9049999713897704,2
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Circularity,0.878000020980835,2
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Circularity,0.8769999742507935,2
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Circularity,0.7350000143051147,2
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Color,0.968999981880188,2
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Color,0.949999988079071,2
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Color,0.9269999861717224,2
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Color,0.753000020980835,2
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Area,0.9419999718666076,2
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Area,0.9409999847412108,2
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Area,0.9380000233650208,2
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Area,0.8040000200271606,2
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9369999766349792,3
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9399999976158142,3
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9520000219345092,3
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Color, Area",0.8769999742507935,3
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.9169999957084656,3
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.8970000147819519,3
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.878000020980835,3
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Color",0.6899999976158142,3
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9340000152587892,3
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9229999780654908,3
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.8930000066757202,3
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Area",0.7009999752044678,3
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Color, Area",0.9259999990463256,3
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Color, Area",0.915000021457672,3
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Color, Area",0.8539999723434448,3
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Color, Area",0.6899999976158142,3
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Circularity,0.8939999938011169,3
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Circularity,0.915000021457672,3
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Circularity,0.8859999775886536,3
"Equal (0.4, 0.4, 0.4)",fc1 (3),Circularity,0.7400000095367432,3
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Color,0.9649999737739564,3
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Color,0.9520000219345092,3
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Color,0.9419999718666076,3
"Equal (0.4, 0.4, 0.4)",fc1 (3),Color,0.7229999899864197,3
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Area,0.9359999895095824,3
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Area,0.9229999780654908,3
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Area,0.8939999938011169,3
"Equal (0.4, 0.4, 0.4)",fc1 (3),Area,0.7200000286102295,3
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9350000023841858,4
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9509999752044678,4
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9559999704360962,4
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Color, Area",0.8130000233650208,4
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.9259999990463256,4
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.9070000052452089,4
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.8859999775886536,4
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Color",0.7770000100135803,4
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9430000185966492,4
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9459999799728394,4
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.9079999923706056,4
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Area",0.574999988079071,4
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Color, Area",0.9200000166893004,4
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Color, Area",0.8980000019073486,4
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Color, Area",0.9049999713897704,4
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Color, Area",0.7839999794960022,4
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Circularity,0.9340000152587892,4
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Circularity,0.9300000071525574,4
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Circularity,0.9269999861717224,4
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Circularity,0.7749999761581421,4
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Color,0.9700000286102296,4
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Color,0.9589999914169312,4
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Color,0.9509999752044678,4
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Color,0.6980000138282776,4
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Area,0.9269999861717224,4
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Area,0.9380000233650208,4
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Area,0.902999997138977,4
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Area,0.6420000195503235,4
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9369999766349792,5
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9409999847412108,5
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.925000011920929,5
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Color, Area",0.7910000085830688,5
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.930999994277954,5
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.9330000281333924,5
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.9120000004768372,5
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Color",0.7020000219345093,5
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9070000052452089,5
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9039999842643738,5
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.9049999713897704,5
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Area",0.7049999833106995,5
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Color, Area",0.9269999861717224,5
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Color, Area",0.925000011920929,5
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Color, Area",0.8759999871253967,5
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Color, Area",0.7490000128746033,5
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Circularity,0.9110000133514404,5
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Circularity,0.8859999775886536,5
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Circularity,0.8939999938011169,5
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Circularity,0.6570000052452087,5
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Color,0.959999978542328,5
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Color,0.9610000252723694,5
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Color,0.9319999814033508,5
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Color,0.7599999904632568,5
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Area,0.9409999847412108,5
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Area,0.9399999976158142,5
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Area,0.9010000228881836,5
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Area,0.8220000267028809,5
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9369999766349792,6
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9539999961853028,6
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9330000281333924,6
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Color, Area",0.5210000276565552,6
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.9039999842643738,6
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.9200000166893004,6
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.8989999890327454,6
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Color",0.7120000123977661,6
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9390000104904176,6
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.921999990940094,6
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.9200000166893004,6
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Circularity, Area",0.6159999966621399,6
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Color, Area",0.9240000247955322,6
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),"Color, Area",0.8949999809265137,6
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),"Color, Area",0.8709999918937683,6
"Equal (0.4, 0.4, 0.4)",fc1 (3),"Color, Area",0.6019999980926514,6
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Circularity,0.912999987602234,6
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Circularity,0.9039999842643738,6
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Circularity,0.8830000162124634,6
"Equal (0.4, 0.4, 0.4)",fc1 (3),Circularity,0.7120000123977661,6
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Color,0.9490000009536744,6
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Color,0.9520000219345092,6
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Color,0.9480000138282776,6
"Equal (0.4, 0.4, 0.4)",fc1 (3),Color,0.6899999976158142,6
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),Area,0.9340000152587892,6
"Equal (0.4, 0.4, 0.4)",conv2<br>(14 x 14 x 32),Area,0.9300000071525574,6
"Equal (0.4, 0.4, 0.4)",conv3<br>(7 x 7 x 64),Area,0.902999997138977,6
"Equal (0.4, 0.4, 0.4)",fc1 (3),Area,0.7319999933242798,6
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9359999895095824,7
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9559999704360962,7
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9490000009536744,7
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Color, Area",0.5139999985694885,7
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.902999997138977,7
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.915000021457672,7
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.9039999842643738,7
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Color",0.628000020980835,7
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9409999847412108,7
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9369999766349792,7
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.8949999809265137,7
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Circularity, Area",0.7329999804496765,7
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),"Color, Area",0.9169999957084656,7
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),"Color, Area",0.9229999780654908,7
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),"Color, Area",0.8889999985694885,7
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),"Color, Area",0.7609999775886536,7
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Circularity,0.9359999895095824,7
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Circularity,0.9120000004768372,7
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Circularity,0.9020000100135804,7
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Circularity,0.7879999876022339,7
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Color,0.9660000205039978,7
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Color,0.9480000138282776,7
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Color,0.944000005722046,7
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Color,0.7889999747276306,7
"Prefer Area (0.3, 0.4, 0.5)",conv1<br>(28 x 28 x 16),Area,0.9269999861717224,7
"Prefer Area (0.3, 0.4, 0.5)",conv2<br>(14 x 14 x 32),Area,0.9409999847412108,7
"Prefer Area (0.3, 0.4, 0.5)",conv3<br>(7 x 7 x 64),Area,0.8899999856948853,7
"Prefer Area (0.3, 0.4, 0.5)",fc1 (3),Area,0.6549999713897705,7
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9359999895095824,8
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Color, Area",0.9190000295639038,8
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Color, Area",0.9350000023841858,8
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Color, Area",0.4830000102519989,8
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Color",0.9110000133514404,8
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Color",0.9110000133514404,8
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Color",0.906000018119812,8
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Color",0.597000002861023,8
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Circularity, Area",0.9390000104904176,8
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Circularity, Area",0.9200000166893004,8
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Circularity, Area",0.9070000052452089,8
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Circularity, Area",0.7350000143051147,8
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),"Color, Area",0.9319999814033508,8
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),"Color, Area",0.906000018119812,8
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),"Color, Area",0.9100000262260436,8
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),"Color, Area",0.6830000281333923,8
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Circularity,0.9049999713897704,8
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Circularity,0.8989999890327454,8
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Circularity,0.8759999871253967,8
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Circularity,0.6729999780654907,8
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Color,0.9610000252723694,8
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Color,0.9570000171661376,8
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Color,0.9350000023841858,8
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Color,0.6809999942779541,8
"Prefer Circularity (0.5, 0.4, 0.3)",conv1<br>(28 x 28 x 16),Area,0.9580000042915344,8
"Prefer Circularity (0.5, 0.4, 0.3)",conv2<br>(14 x 14 x 32),Area,0.944000005722046,8
"Prefer Circularity (0.5, 0.4, 0.3)",conv3<br>(7 x 7 x 64),Area,0.9079999923706056,8
"Prefer Circularity (0.5, 0.4, 0.3)",fc1 (3),Area,0.6539999842643738,8
"Equal (0.4, 0.4, 0.4)",conv1<br>(28 x 28 x 16),"Circularity, Color, Area",0.9300000071525574,9
